"No.","Time","Source","Destination","Protocol","Length","Info"
"35425","82.310950","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35426","82.310960","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35427","82.310984","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35428","82.310984","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35429","82.310994","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35430","82.310995","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35431","82.311003","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35432","82.311013","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35433","82.311023","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35434","82.311034","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35435","82.311048","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35436","82.311079","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35437","82.311079","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35438","82.311079","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35439","82.311092","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35440","82.311099","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35441","82.311108","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35442","82.311121","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35443","82.311131","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35444","82.311155","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
